Date,Price,Year,Month,Day,DayOfWeek,MA7,MA14,MA30,Lag1,Lag2,Lag3
2010-03-16,123.45,2010,3,16,1,148.29142857142855,136.0507142857143,136.43533333333332,122.41,172.98,170.14
2010-03-17,124.6,2010,3,17,2,147.50285714285715,136.17142857142858,136.49266666666668,123.45,122.41,172.98
2010-03-18,126.65,2010,3,18,3,143.41857142857143,136.41714285714286,136.64066666666668,124.6,123.45,122.41
2010-03-19,125.54,2010,3,19,4,137.96714285714285,136.71714285714285,136.679,126.65,124.6,123.45
2010-03-22,125.9,2010,3,22,0,131.64714285714285,136.94,136.76266666666666,125.54,126.65,124.6
2010-03-23,127.0,2010,3,23,1,125.07857142857142,137.17857142857142,136.65366666666665,125.9,125.54,126.65
2010-03-24,127.26,2010,3,24,2,125.77142857142857,137.46214285714285,135.767,127.0,125.9,125.54
2010-03-25,128.96,2010,3,25,3,126.55857142857143,137.42499999999998,134.759,127.26,127.0,125.9
2010-03-26,128.94,2010,3,26,4,127.17857142857143,137.34071428571428,133.67433333333332,128.96,127.26,127.0
2010-03-29,130.14,2010,3,29,0,127.67714285714285,135.54785714285714,132.32466666666667,128.94,128.96,127.26
2010-03-30,130.27,2010,3,30,1,128.35285714285715,133.16,130.92566666666667,130.14,128.94,128.96
2010-03-31,129.92,2010,3,31,2,128.92714285714285,130.28714285714287,131.118,130.27,130.14,128.94
2010-04-01,124.63,2010,4,1,3,128.58857142857144,126.83357142857143,131.11833333333334,129.92,130.27,130.14
2010-04-02,123.09,2010,4,2,4,127.99285714285715,126.88214285714285,131.07266666666666,124.63,129.92,130.27
2010-04-03,122.27,2010,4,3,5,127.03714285714285,126.79785714285713,130.9633333333333,123.09,124.63,129.92
2010-04-05,130.07,2010,4,5,0,127.19857142857141,127.18857142857142,131.107,122.27,123.09,124.63
2010-04-06,128.86,2010,4,6,1,127.01571428571431,127.34642857142856,131.29366666666667,130.07,122.27,123.09
2010-04-08,155.98,2010,4,8,3,130.6885714285714,129.5207142857143,132.39600000000002,128.86,130.07,122.27
2010-04-10,151.68,2010,4,10,5,133.79714285714286,131.36214285714286,133.345,155.98,128.86,130.07
2010-04-11,176.0,2010,4,11,6,141.1357142857143,134.86214285714286,135.167,151.68,155.98,128.86
2010-04-13,127.1,2010,4,13,1,141.70857142857145,134.8507142857143,135.311,176.0,151.68,155.98
2010-04-14,126.79,2010,4,14,2,142.3542857142857,134.69571428571427,135.41533333333334,127.1,176.0,151.68
2010-04-15,126.34,2010,4,15,3,141.82142857142858,134.51000000000002,135.517,126.79,127.1,176.0
2010-04-16,125.29,2010,4,16,4,141.3114285714286,134.16357142857143,135.37733333333333,126.34,126.79,127.1
2010-04-19,124.64,2010,4,19,0,136.83428571428573,133.76142857142855,135.19466666666665,125.29,126.34,126.79
2010-04-20,124.39,2010,4,20,1,132.93571428571428,133.36642857142857,134.16633333333334,124.64,125.29,126.34
2010-04-21,124.3,2010,4,21,2,125.55,133.34285714285713,132.85299999999998,124.39,124.64,125.29
2010-04-22,125.22,2010,4,22,3,125.28142857142856,133.495,131.35566666666668,124.3,124.39,124.64
2010-04-23,125.72,2010,4,23,4,125.12857142857142,133.74142857142857,129.78033333333332,125.22,124.3,124.39
2010-04-26,126.12,2010,4,26,0,125.09714285714286,133.4592857142857,129.904,125.72,125.22,124.3
2010-04-27,123.79,2010,4,27,1,124.88285714285715,133.09714285714287,129.91533333333334,126.12,125.72,125.22
2010-04-28,125.77,2010,4,28,2,125.04428571428572,130.93928571428572,129.95433333333332,123.79,126.12,125.72
2010-04-29,127.03,2010,4,29,3,125.42142857142858,129.17857142857142,129.96699999999998,125.77,123.79,126.12
2010-04-30,127.59,2010,4,30,4,125.89142857142858,125.72071428571428,130.03533333333334,127.03,125.77,123.79
2010-05-01,125.17,2010,5,1,5,125.88428571428572,125.58285714285715,130.01100000000002,127.59,127.03,125.77
2010-05-02,121.56,2010,5,2,6,125.28999999999999,125.20928571428571,129.82966666666667,125.17,127.59,127.03
2010-05-03,121.9,2010,5,3,0,124.68714285714286,124.89214285714286,129.651,121.56,125.17,127.59
2010-05-05,129.51,2010,5,5,2,125.50428571428571,125.19357142857143,129.66933333333333,121.9,121.56,125.17
2010-05-07,152.39,2010,5,7,4,129.30714285714285,127.17571428571429,130.451,129.51,121.9,121.56
2010-05-08,156.19,2010,5,8,5,133.47285714285712,129.44714285714286,131.31933333333333,152.39,129.51,121.9
2010-05-10,152.97,2010,5,10,0,137.09857142857143,131.495,132.076,156.19,152.39,129.51
2010-05-11,175.49,2010,5,11,1,144.28714285714287,135.0857142857143,133.595,152.97,156.19,152.39
2010-05-14,128.72,2010,5,14,4,145.31,135.3,133.73133333333334,175.49,152.97,156.19
2010-05-17,126.85,2010,5,17,0,146.01714285714283,135.35214285714287,133.85666666666668,128.72,175.49,152.97
2010-05-18,128.11,2010,5,18,1,145.81714285714287,135.66071428571428,134.05133333333333,126.85,128.72,175.49
2010-05-19,126.77,2010,5,19,2,142.15714285714287,135.73214285714286,133.94133333333335,128.11,126.85,128.72
2010-05-20,126.34,2010,5,20,3,137.89285714285714,135.68285714285713,133.85733333333332,126.77,128.11,126.85
2010-05-21,126.76,2010,5,21,4,134.14857142857142,135.62357142857144,132.88333333333333,126.34,126.77,128.11
2010-05-24,126.48,2010,5,24,0,127.14714285714285,135.71714285714285,132.04333333333335,126.76,126.34,126.77
2010-05-25,126.6,2010,5,25,1,126.8442857142857,136.07714285714286,130.39666666666668,126.48,126.76,126.34
2010-05-26,128.06,2010,5,26,2,127.01714285714284,136.51714285714283,130.42866666666666,126.6,126.48,126.76
2010-05-27,128.46,2010,5,27,3,127.06714285714285,136.44214285714284,130.48433333333335,128.06,126.6,126.48
